,url,date,topics
608,https://www.bbc.com//news/articles/cpe357pgk1jo,28 Jun 2024,"['NHS', 'General election 2024', 'Didcot']"
609,https://www.bbc.com//news/articles/cqlljeg3k4jo,21 Jun 2024,"['Thame', 'General election 2024']"
610,https://www.bbc.com//news/articles/crgg9k5qdn5o,20 Jun 2024,"['Slough', 'Disability']"
611,https://www.bbc.com//news/articles/cxee3gmzyxgo,17 Jun 2024,"['Immigration', 'General election 2024', 'Essex']"
612,https://www.bbc.com//news/articles/cyee1zxpg5do,19 Jun 2024,['Belper']
613,https://www.bbc.com//news/articles/cz440j1x4xno,31 May 2024,['no_topics']
614,https://www.bbc.com//news/articles/ceqqwd39e2eo,12 Jun 2024,['no_topics']
615,https://www.bbc.com//news/articles/cn00856r6k2o,18 Jun 2024,"['Electric cars', 'Climate', 'General election 2024', 'Renewable energy', 'Sandy']"
616,https://www.bbc.com//news/articles/crgg324r1leo,25 Jun 2024,"['East-West Rail', 'Cambridge', 'Cherry Hinton', 'Eversden', 'General election 2024', 'Harston']"
617,https://www.bbc.com//news/articles/c0xxx6808qpo,26 Jun 2024,"['Stanwick', 'General election 2024', 'Autism']"
618,https://www.bbc.com//news/articles/c999xdpzd0jo,10 Jun 2024,"['Conservative Party', 'Rishi Sunak']"
619,https://www.bbc.com//news/articles/cd11dved5e8o,14 Jun 2024,"['Carers', 'General election 2024', 'Haswell']"
620,https://www.bbc.com//news/articles/cjjjwp52999o,1 Jul 2024,"['Smethwick', 'Sandwell', 'General election 2024']"
621,https://www.bbc.com//news/articles/clwylnlxg31o,30 Jun 2024,"['Cornwall', 'Cost of Living ', 'Sustainability', 'Liskeard', 'General election 2024']"
622,https://www.bbc.com//news/articles/cmlljwrp829o,19 Jun 2024,"['New Brighton', 'Hoylake', 'General election 2024']"
623,https://www.bbc.com//news/articles/cp44jpyp7q2o,15 Jun 2024,"['Hay-on-wye', 'Water pollution', 'River Wye']"
624,https://www.bbc.com//news/articles/cpv35ldpx05o,2 Jul 2024,"['Cornwall', 'Social care', 'General election 2024']"
625,https://www.bbc.com//news/articles/cv22y0jvd4do,25 Jun 2024,"['Gosport', 'Oxford', 'General election 2024', 'Brexit']"
626,https://www.bbc.com//news/articles/cx77jy54qqpo,18 Jun 2024,"['NHS', 'General election 2024', 'Northampton']"
627,https://www.bbc.com//news/articles/cy99zlnnxl0o,1 Jul 2024,"['Telford', 'Healthcare', 'NHS']"
628,https://www.bbc.com//news/articles/c8771mg8lezo,12 Jun 2024,"['Ipswich', 'General election 2024']"
629,https://www.bbc.com//news/articles/cjqq1lkw5k7o,11 Jun 2024,"['Manchester', 'Blackpool', 'General election 2024', 'Brexit']"
630,https://www.bbc.com//news/entertainment-arts-68927262,9 May 2024,"['Asia', 'Bollywood', 'India', 'Musical theatre']"
631,https://www.bbc.com//news/world-asia-india-68982352,9 May 2024,"['India Election 2024', 'Narendra Modi', 'India']"
632,https://www.bbc.com//news/articles/c2x0le06kn7o,30 Jun 2024,"['Depression', 'Asia', 'South Korea', 'Young people']"
633,https://www.bbc.com//news/articles/cw555ny3q9xo,27 Jun 2024,"['Climate', 'India']"
634,https://www.bbc.com//news/world-europe-20679558,12 Dec 2012,['no_topics']
635,https://www.bbc.com//news/world-middle-east-56065527,17 Feb 2021,"['Middle East', 'Women', 'United Arab Emirates', ""Women's rights"", 'Mohammed Al Maktoum', 'Dubai', 'Human rights in Saudi Arabia']"
636,https://www.bbc.com//news/uk-64732567,22 Feb 2023,"['Health', 'Race and ethnicity', 'Office for National Statistics', 'Coronavirus']"
637,https://www.bbc.com//news/business-66922452,28 Sep 2023,"['Money', 'Students', 'University of St Andrews']"
638,https://www.bbc.com//news/articles/c20rrd573nzo,6 Aug 2024,"['Asia', 'Bangladesh']"
639,https://www.bbc.com//news/articles/c4ngr3kndnxo,30 Jul 2024,"['Scottish government', 'Scotland', 'UK government', 'Labour Party', 'Ian Murray', 'SNP (Scottish National Party)']"
640,https://www.bbc.com//news/articles/c51y9r0jgxno,28 Jul 2024,"['Economics', 'Nicolás Maduro', 'Venezuela', 'Inflation', 'Venezuela crisis', 'Oil & Gas industry']"
641,https://www.bbc.com//news/articles/c87r2enn88lo,28 Jul 2024,['Universal Credit']
642,https://www.bbc.com//news/articles/cz5r235rr08o,25 Jul 2024,"['Mercury Prize', 'Ghetts', 'Music']"
643,https://www.bbc.com//news/articles/c0kr94775x2o,19 Jul 2024,"['Public health', 'Health', 'UK economy', 'Hampshire County Council', 'Mental health']"
644,https://www.bbc.com//news/articles/cjjwyd29zz8o,18 Jul 2024,['Blackpool']
645,https://www.bbc.com//news/business-54712193,7 Nov 2020,['no_topics']
646,https://www.bbc.com//news/uk-scotland-scotland-politics-58230375,17 Aug 2021,"['Poverty', 'Scottish government', 'Scotland economy']"
647,https://www.bbc.com//news/world-us-canada-57660073,2 Jul 2021,"['Republican Party', 'Democratic Party', 'Alaska', 'US politics', 'Long Reads']"
648,https://www.bbc.com//news/uk-northern-ireland-57329138,2 Jun 2021,"['Belfast', 'Sinn Féin', 'Belfast City Council']"
649,https://www.bbc.com//news/world-latin-america-64466400,4 Feb 2023,"['Venezuela', 'Venezuela crisis']"
650,https://www.bbc.com//news/uk-wales-66543302,21 Aug 2023,"['Wales', 'Wales business', 'Maesteg', 'Chepstow', 'Plaid Cymru', 'Cardiff', 'Transport', 'Monmouth', 'Welsh government', 'Newport', 'Bus travel', 'Wales economy']"
651,https://www.bbc.com//news/uk-scotland-63128912,4 Oct 2022,"['Conservative Party', 'UK economy', 'Kwasi Kwarteng']"
652,https://www.bbc.com//news/uk-england-60249864,28 Feb 2022,"['Surrey County Council', 'Kent County Council', 'West Sussex County Council', 'Personal finance', 'Council tax', 'Brighton and Hove City Council', 'East Sussex County Council', 'Medway Council']"
653,https://www.bbc.com//news/uk-england-somerset-62643367,23 Aug 2022,"['South Petherton', 'Chard', 'School meals']"
654,https://www.bbc.com//news/world-africa-63383361,26 Oct 2022,"['Human rights', ""Women's rights"", 'Sudan', 'Capital punishment', 'Women’s rights in Africa']"
655,https://www.bbc.com//news/uk-politics-43279177,5 Mar 2018,['no_topics']
656,https://www.bbc.com//news/uk-politics-41796213,30 Oct 2017,['no_topics']
657,https://www.bbc.com//news/world-latin-america-44678954,2 Jul 2018,['no_topics']
658,https://www.bbc.com//news/uk-politics-parliaments-48309213,17 May 2019,['no_topics']
659,https://www.bbc.com//news/education-47881893,11 Apr 2019,['no_topics']
660,https://www.bbc.com//news/science-environment-47198581,12 Feb 2019,['no_topics']
661,https://www.bbc.com//news/world-us-canada-50079639,17 Oct 2019,['no_topics']
662,https://www.bbc.com//news/business-49625848,8 Sep 2019,['no_topics']
663,https://www.bbc.com//news/business-57746622,7 Jul 2021,"['Companies', 'Wetherspoons', 'Hospitality industry', 'Pubs']"
664,https://www.bbc.com//news/uk-wales-politics-55387707,21 Dec 2020,"['Wales', 'UK devolution', 'Wales business', 'Welsh government', 'Rebecca Evans', 'Wales education', 'NHS Wales', 'Wales economy', 'Coronavirus pandemic', 'Stamp duty in the United Kingdom']"
665,https://www.bbc.com//news/world-us-canada-47446913,5 Mar 2019,['no_topics']
666,https://www.bbc.com//news/education-58013607,6 Aug 2021,"['Schools', 'Social mobility', 'Universities', 'Grammar schools', 'Students', 'University of Oxford', 'Young people']"
667,https://www.bbc.com//news/world-europe-48450014,29 May 2019,['no_topics']
668,https://www.bbc.com//news/business-41732356,24 Oct 2017,['no_topics']
669,https://www.bbc.com//news/world-latin-america-44971445,26 Jul 2018,['no_topics']
